# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 106, mean track length: 2
46 2.0103508417957552 10.78413399442368 25.638030887264659 91 40 11 0.059914846751902034 282 161 261 269
47 9.3303997277912867 12.082648226941267 27.766451516040657 48 57 64 0.44559124640416453 282 159 261 274
48 12.42481067615015 -0.76091072315840358 30.528152312905068 13 12 12 0.19536090126089029 282 198 261 295
49 3.713559471177831 2.020849537680482 32.095284596416271 24 23 26 0.31447329678848213 282 291 261 299
50 9.1899244891712044 7.1039997348200536 30.505274953892386 185 227 252 0.85037987829411255 282 299 261 305
51 10.892239554673182 7.4338466066284594 30.79821096498415 251 229 192 0.34272777382998471 282 223 261 309
52 9.2061125946125415 9.0399894310990643 30.527817073877763 37 24 5 0.35804383292550146 282 308 261 318
53 10.259331264775163 9.2991037177248881 29.946015750994317 240 227 234 0.1628019264015797 282 310 261 321
54 14.372771493610276 10.132027220582591 30.010228219882205 12 13 15 0.31935830475420024 282 314 261 323
55 14.372771493610276 10.132027220582591 30.010228219882205 12 13 15 0.31935830475420024 282 315 261 324
56 11.774286745097069 2.5150269848303872 31.254942959659438 1 1 5 0.098544534355610502 282 331 261 348
57 10.575290863451166 7.2026015397261203 31.446033488959891 234 232 220 0.31363649223695511 282 376 261 353
58 4.894739973956308 9.5480715187843685 30.36046757982848 25 25 27 0.061073161625685296 282 350 261 364
59 14.301034829559558 10.76788322323395 30.208285846707728 17 11 13 0.47477095747301495 282 384 261 367
60 7.6406393215885062 11.606369105138238 29.338556953948185 185 114 26 0.30211148727389847 282 410 261 369
61 12.225115295591786 1.8581292145814137 30.338363620780569 192 197 201 0.6994340547478255 282 367 261 379
62 12.799941098117641 2.1533234262868199 30.766349897298706 186 144 103 0.31240847824856099 282 368 261 380
63 4.3420088792411677 4.744536259611241 32.556457770432218 236 205 162 0.29754704629053585 282 373 261 384
64 8.3517342813085609 7.0539510236558796 31.756815264090211 42 39 44 0.23138266765600934 282 403 261 394
65 7.5523961794770926 7.627738575423364 31.72426949165262 239 200 43 0.16612492484818447 282 378 261 396
66 4.7038580265434486 8.0220976658180376 30.998979439516273 46 42 56 0.014748646272375696 282 380 261 397
67 5.0849344684514817 8.1974134296759207 30.914953754488781 39 39 37 0.085139211705908865 282 381 261 399
68 5.5382735716160285 8.4657382791367688 30.826693880423363 57 60 75 0.25503231128456294 282 383 261 400
69 12.951929751103462 -0.81903444000903158 30.546291068443129 252 210 149 0.14003667767750988 282 365 261 407
70 2.0121114213303448 9.6851989649768004 25.523123153159769 232 159 51 0.58319904555771063 282 412 261 423
71 8.7947188603500237 4.0401474675780102 30.862481551226431 10 8 5 0.33386385891872816 282 419 261 435
72 6.1252010126857659 5.2155205858095934 32.400910275527949 247 222 182 0.018123444385618713 282 421 261 436
73 8.3152713054610174 7.8197822308291309 30.861013384605339 250 215 131 0.056029535163277584 282 427 261 438
74 14.22757806707485 11.514474834493198 30.334643092370392 135 65 0 0.34163685154452633 282 453 261 443
75 5.9452443199153713 11.943631013284056 28.996579117458499 249 254 255 0.70420743406781861 282 435 261 444
76 8.6400640516970313 11.789776002489324 28.830522480452448 36 55 79 0.84650237115495752 282 434 261 445
77 12.916682336988758 -1.8575595502519338 30.554734049029705 4 5 6 0.53182367864697133 282 438 261 449
78 12.551618951400659 -0.45839090922958142 30.466868989623464 20 19 22 0.095669140949164649 282 441 261 450
79 12.551618951400659 -0.45839090922958142 30.466868989623464 20 19 22 0.095669140949164649 282 440 261 451
80 11.202354302027857 2.3505978264035892 31.720588571274305 139 156 176 1.1767187623396838 282 442 261 454
81 5.2456901089661088 2.9801423465775456 32.644303410113281 24 24 26 0.25476966502311332 282 445 261 455
82 5.7012881592533793 5.8862493812427452 33.110916658531856 54 54 52 0.67027770005768605 282 459 261 456
83 10.002769155014875 5.8060943935732121 31.789696121282478 187 182 176 0.32347761351162618 282 451 261 457
84 10.757450403823391 7.1857875847269632 31.13261766101213 244 236 225 0.38855851403253816 282 461 261 458
85 2.1500058182753246 10.037148346959693 25.446841936434645 228 156 48 0.15441720453363533 282 464 261 459
