# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 283, mean track length: 2
71 3.8392371812196768 -3.6052425957793082 30.740665258100133 27 21 21 0.22411065222562193 242 801 186 1883
72 4.4540924885731092 -3.6150437586463844 31.259975195873899 19 19 21 0.096406852265259246 242 1283 186 1887
73 10.201968041284541 -3.8218990148414775 33.453400746458904 36 40 51 0.13691558967558881 242 820 186 1893
74 10.201968041284541 -3.8218990148414775 33.453400746458904 36 40 51 0.13691558967558881 242 819 186 1894
75 5.0196522687468024 -3.5270623872577183 31.603216797992548 25 24 29 0.81814885406955296 242 816 186 1903
76 4.9706367580914081 -3.4056072744645816 31.636104981106204 58 57 62 0.028846398522766426 242 40 186 1918
77 4.2050088033629205 -3.060769713849107 31.278141648172493 35 33 29 0.26596977374443853 242 835 186 1971
78 4.740268229876432 -3.0872706231233784 31.671115717839616 74 75 70 0.089616857790286317 242 1298 186 1972
79 3.851033538653919 -3.0033308477126441 31.043037793402359 122 113 98 0.12125885586236471 242 838 186 1978
80 5.4260442867575405 -3.0357855471458617 31.997061415454002 14 14 14 0.12886875275554449 242 845 186 1988
81 5.35223550330352 -2.9729121931308722 31.977370496963204 106 106 105 0.32376787851009381 242 1308 186 1997
82 4.0814543709657132 -2.8681315188308547 31.294841764336446 45 35 30 0.22670701229355655 242 847 186 2007
83 3.9690374187776403 -2.8622877820558537 31.242102294116719 143 132 120 0.42640280916536855 242 846 186 2009
84 5.2875262307597772 -2.9058233038860388 32.008994138675526 18 18 20 0.098793630109034053 242 849 186 2015
85 6.5760142964147805 -2.8470013989812082 32.85470576565622 44 45 39 0.18154784195174298 242 861 186 2042
86 4.29677456208527 -2.6708446509529673 31.487556819920794 42 35 29 0.10599242134705134 242 112 186 2055
87 4.29677456208527 -2.6708446509529673 31.487556819920794 42 35 29 0.10599242134705134 242 111 186 2056
88 4.1917802565847566 -2.5669098722677632 31.384030641767364 73 72 75 0.21669737117823956 242 864 186 2080
